country,year,hdi,gini,hom,ppincppp,pov,homale,country_id
Argentina,1990,0.72000003,,,7183.5801,,,1
Argentina,1991,0.73000002,46.799999,,7990.1899,14.3,,1
Argentina,1992,0.74000001,45.5,,8699.4004,14.9,,1
Argentina,1993,0.74000001,44.900002,,9506.5098,15.1,,1
Argentina,1994,0.74000001,45.900002,,10138.68,15.7,,1
Argentina,1995,0.75,48.900002,,9925.1299,20.5,,1
Argentina,1996,0.75,49.5,,10531.85,22.4,,1
Argentina,1997,0.75999999,49.099998,,11444.47,21.299999,,1
Argentina,1998,0.75999999,50.700001,,11880.48,23.299999,,1
Argentina,1999,0.76999998,49.799999,,11506.7,24.200001,,1
Argentina,2000,0.77999997,51.099998,,11542.99,26.299999,,1
Argentina,2001,0.77999997,53.299999,8.3500004,11159.33,31.1,,1
Argentina,2002,0.79000002,53.799999,9.4200001,9990.7197,44.400002,,1
Argentina,2003,0.79000002,50.900002,7.75,10974.32,29.6,,1
Argentina,2004,0.80000001,48.400002,6.0500002,12162.34,24.700001,,1
Argentina,2005,0.80000001,47.700001,5.6300001,13513.67,20.799999,,1
Argentina,2006,0.81,46.299999,5.3499999,14896.73,16.799999,,1
Argentina,2007,0.81999999,46.200001,5.3600001,16510.449,15.4,,1
Argentina,2008,0.82999998,44.900002,5.8899999,17336.93,14.1,,1
Argentina,2009,0.82999998,43.700001,6.4899998,16249.73,12.8,,1
Argentina,2010,0.82999998,43.599998,5.8000002,18063.91,11.2,,1
Argentina,2011,0.83999997,42.599998,6.0500002,19322.23,9,,1
Argentina,2012,0.83999997,41.299999,6.3099999,19641.35,8.5,,1
Argentina,2013,0.85000002,40.900002,7.25,20131.68,8.5,,1
Argentina,2014,0.85000002,41.599998,7.54,19683.77,9.1000004,,1
Argentina,2015,0.85000002,,6.5599999,20105.199,,11.45,1
Argentina,2016,0.85000002,42,6.0100002,20307.869,8.8000002,,1
Argentina,2017,0.85000002,41.099998,5.2600002,23597.119,7.9000001,8.75,1
Argentina,2018,0.85000002,41.299999,5.3699999,23294.1,9.6999998,9.04,1
Argentina,2019,0.85000002,42.900002,5.1599998,23007.84,11.2,8.5500002,1
Argentina,2020,0.83999997,42.299999,5.3699999,20787.859,14.1,9.1700001,1
Argentina,2021,0.83999997,42,4.6199999,23754.359,10.6,7.96,1
