country,year,hdi,gini,hom,ppincppp,pov,homale,country_id
Bolivia,1990,0.55000001,,,2294.73,,,2
Bolivia,1991,0.56,,,2446.02,,,2
Bolivia,1992,0.56999999,,,2491.53,,,2
Bolivia,1993,0.57999998,,,2606.5801,,,2
Bolivia,1994,0.58999997,,,2732.4399,,,2
Bolivia,1995,0.60000002,,,2865.23,,,2
Bolivia,1996,0.61000001,,,2988.5701,,,2
Bolivia,1997,0.62,58.200001,,3132.5901,46.099998,,2
Bolivia,1998,0.63,,,3267.23,,,2
Bolivia,1999,0.63,58.099998,,3267.4299,50,,2
Bolivia,2000,0.63,61.599998,,3364.02,55.799999,,2
Bolivia,2001,0.63,57.400002,,3436.3701,51.799999,,2
Bolivia,2002,0.63,59.299999,,3514.5901,53.799999,,2
Bolivia,2003,0.63,,,3617.3999,,,2
Bolivia,2004,0.63,55,,3802.8101,45.799999,,2
Bolivia,2005,0.63999999,58.5,,4025.1101,47.200001,,2
Bolivia,2006,0.63999999,56.700001,,4273.04,42.099998,,2
Bolivia,2007,0.64999998,54.5,,4509.21,41.200001,,2
Bolivia,2008,0.64999998,50.799999,,4794.6001,33.900002,13.87,2
Bolivia,2009,0.66000003,49.200001,,4902.6099,28.9,,2
Bolivia,2010,0.66000003,,,5079.3799,,,2
Bolivia,2011,0.67000002,46.099998,,5363.9902,23.5,,2
Bolivia,2012,0.67000002,46.599998,,5814.0698,23.700001,,2
Bolivia,2013,0.68000001,47.599998,,6500.8799,21.799999,,2
Bolivia,2014,0.68000001,47.799999,,6920.7798,20.200001,,2
Bolivia,2015,0.69,46.700001,4.9000001,6992.1299,20.5,5.9899998,2
Bolivia,2016,0.69999999,45.200001,5.6999998,7345.8301,22,7.0100002,2
Bolivia,2017,0.70999998,44.599998,6.5300002,8244.9297,21,8.3699999,2
Bolivia,2018,0.70999998,42.599998,4.9499998,8669.8301,19.1,5.7600002,2
Bolivia,2019,0.72000003,41.599998,4.2199998,8890.46,15.5,4.8299999,2
Bolivia,2020,0.69,43.599998,3.49,8110.1099,17.299999,3.9100001,2
Bolivia,2021,0.69,40.900002,3.49,8885.2402,15.2,3.76,2
