country,year,hdi,gini,hom,ppincppp,pov,homale,country_id
Brazil,1990,0.61000001,60.5,19.440001,6617.9399,63.700001,35.939999,3
Brazil,1991,0.62,,18.360001,6793.8101,,33.66,3
Brazil,1992,0.62,53.200001,16.66,6797.1499,65.400002,30.690001,3
Brazil,1993,0.63,60.099998,17.68,7183.8999,64.300003,32.540001,3
Brazil,1994,0.63999999,,18.540001,7644.2202,,34.09,3
Brazil,1995,0.64999998,59.599998,20.790001,8008.0601,52.599998,38.139999,3
Brazil,1996,0.64999998,59.900002,23.42,8208.2197,52.599998,42.689999,3
Brazil,1997,0.66000003,59.799999,24.030001,8504.6797,53,44.119999,3
Brazil,1998,0.67000002,59.599998,24.530001,8503.7002,52,45.290001,3
Brazil,1999,0.67000002,59,24.74,8541.71,53.799999,45.75,3
Brazil,2000,0.68000001,,25.799999,8994.7402,,47.75,3
Brazil,2001,0.69,58.400002,26.91,9202.8799,48,49.93,3
Brazil,2002,0.69,58.099998,27.540001,9510.8203,47.299999,51.27,3
Brazil,2003,0.69,57.599998,27.959999,9693.5596,48.700001,52.150002,3
Brazil,2004,0.69,56.5,26.200001,10407.84,47.299999,48.779999,3
Brazil,2005,0.69999999,56.299999,25.48,10954.86,45,47.330002,3
Brazil,2006,0.69999999,55.599998,26.040001,11614.5,41.400002,48.349998,3
Brazil,2007,0.69999999,54.900002,25.02,12522.52,39,46.630001,3
Brazil,2008,0.72000003,54,26.02,13281.07,35.799999,48.43,3
Brazil,2009,0.72000003,53.700001,26.459999,13222.75,33.799999,49.130001,3
Brazil,2010,0.72000003,,26.629999,14254.52,,49.349998,3
Brazil,2011,0.73000002,52.900002,26.360001,14989.16,29.9,48.779999,3
Brazil,2012,0.73000002,53.400002,28.200001,14994.34,28.200001,52.360001,3
Brazil,2013,0.75,52.700001,28.18,15535.72,25.700001,52.310001,3
Brazil,2014,0.75,52,29.360001,15664.8,24.299999,54.68,3
Brazil,2015,0.75,51.900002,28.360001,14692.63,25.299999,52.93,3
Brazil,2016,0.75999999,53.299999,29.59,14208.16,27,55.470001,3
Brazil,2017,0.75999999,53.299999,30.59,14477.86,27.1,57.279999,3
Brazil,2018,0.75999999,53.900002,26.639999,14971.05,26.700001,49.669998,3
Brazil,2019,0.76999998,53.5,20.809999,15307.94,26.200001,38.669998,3
Brazil,2020,0.75999999,48.900002,22.379999,14900.1,18.700001,41.779999,3
Brazil,2021,0.75,52.900002,,16260.1,28.4,,3
