country,year,hdi,gini,hom,ppincppp,pov,homale,country_id
Chile,1990,0.70999998,57.200001,,4437.0601,56,,4
Chile,1991,0.72000003,,,4872.1401,,,4
Chile,1992,0.72000003,54.799999,,5533.6299,50.700001,,4
Chile,1993,0.72000003,,,6026.75,,,4
Chile,1994,0.72000003,56.400002,,6473.8901,47.099998,,4
Chile,1995,0.73000002,,,7250.1899,,,4
Chile,1996,0.74000001,54.900002,,7959.4902,41.400002,,4
Chile,1997,0.74000001,,,8581.4404,,,4
Chile,1998,0.75,55.5,,8927.8398,38.900002,,4
Chile,1999,0.75999999,,,8921.9805,,,4
Chile,2000,0.75999999,52.799999,,9468.3203,41.400002,,4
Chile,2001,0.76999998,,,9876.2305,,,4
Chile,2002,0.77999997,,,10239.39,,,4
Chile,2003,0.77999997,51.5,3.23,10820.67,40.599998,,4
Chile,2004,0.79000002,,,11735.18,,,4
Chile,2005,0.80000001,,3.5599999,12685.03,,6.1399999,4
Chile,2006,0.80000001,47.299999,3.6099999,15676.58,29.9,6.1500001,4
Chile,2007,0.80000001,,3.73,16875.711,,6.1700001,4
Chile,2008,0.81,,3.53,16550.449,,5.8699999,4
Chile,2009,0.81,47,3.74,16118.38,25.4,6.3499999,4
Chile,2010,0.81,,3.1800001,18104.721,,5.27,4
Chile,2011,0.81999999,46,3.7,20330.52,21.200001,6.1100001,4
Chile,2012,0.81999999,,2.5,21584.68,,4.6100001,4
Chile,2013,0.83999997,45.799999,3.1800001,22425.59,12.9,5.1599998,4
Chile,2014,0.83999997,,2.48,22779.43,,4.27,4
Chile,2015,0.85000002,44.400002,2.3399999,22691.49,10.2,4.1700001,4
Chile,2016,0.85000002,,3.4300001,23492.289,,5.9099998,4
Chile,2017,0.85000002,44.400002,4.2399998,24546.91,7.5,7.3800001,4
Chile,2018,0.86000001,,4.4099998,25564.539,,7.8800001,4
Chile,2019,0.86000001,,3.9400001,25600.189,,6.9400001,4
Chile,2020,0.85000002,44.900002,4.8000002,24941.24,8,8.5100002,4
Chile,2021,0.86000001,,3.6300001,28337.07,,6.6399999,4
