country,year,hdi,gini,hom,ppincppp,pov,homale,country_id
Colombia,1990,0.61000001,,74.629997,5083.6699,,138.16,5
Colombia,1991,0.62,,85.43,5252.6401,,159,5
Colombia,1992,0.63,51.5,83.040001,5479.8901,54.200001,153.92999,5
Colombia,1993,0.63999999,,82.160004,5796.4902,,152.59,5
Colombia,1994,0.63999999,,76.720001,6143.6899,,142.64999,5
Colombia,1995,0.64999998,,62.049999,6475.0801,,115.41,5
Colombia,1996,0.64999998,56.900002,63.740002,6607.5,61.5,118.54,5
Colombia,1997,0.66000003,,62.209999,6829.0898,,115.72,5
Colombia,1998,0.67000002,,60.849998,6825.8701,,113.28,5
Colombia,1999,0.66000003,58.700001,63.119999,6520.96,64.300003,117.7,5
Colombia,2000,0.67000002,58.700001,67.68,6753.46,59.5,126.43,5
Colombia,2001,0.67000002,57.5,69.879997,6911.73,67,129.62,5
Colombia,2002,0.67000002,56,70.169998,7085.6201,57.700001,130.28999,5
Colombia,2003,0.68000001,53.599998,57.290001,7398.1802,58,105.72,5
Colombia,2004,0.68000001,55,48.529999,7888.4502,57.299999,90.010002,5
Colombia,2005,0.69999999,53.900002,42.900002,8413,53.5,79.440002,5
Colombia,2006,0.69999999,,40.860001,9135.6797,,76.260002,5
Colombia,2007,0.70999998,,39.709999,9891.3799,,73.739998,5
Colombia,2008,0.72000003,55.299999,36.84,10291.2,48.5,68.599998,5
Colombia,2009,0.72000003,54.299999,35.689999,10357.33,47.299999,66.389999,5
Colombia,2010,0.73000002,54.599998,34.490002,10830.2,44.599998,64.209999,5
Colombia,2011,0.73000002,53.5,35.59,11694.73,41.599998,65.949997,5
Colombia,2012,0.73000002,52.599998,35.91,12095.65,39.799999,66.480003,5
Colombia,2013,0.75,52.599998,33.349998,12798.66,37.599998,62.099998,5
Colombia,2014,0.75,52.599998,28.59,13390.03,35.400002,52.77,5
Colombia,2015,0.75,51,27.129999,13378.68,34.599998,50.34,5
Colombia,2016,0.75999999,50.599998,26.040001,13971.34,34.299999,48.32,5
Colombia,2017,0.75999999,49.700001,25.43,14334.91,33.700001,46.950001,5
Colombia,2018,0.75999999,50.400002,26.23,15161.32,33.900002,48.630001,5
Colombia,2019,0.76999998,51.299999,25.75,15872.31,34.799999,47.73,5
Colombia,2020,0.75999999,53.5,24.24,15103.07,42.200001,45.240002,5
Colombia,2021,0.75,51.5,27.48,17105,39.200001,51.5,5
