country,year,hdi,gini,hom,ppincppp,pov,homale,country_id
Guyana,1990,0.50999999,,12.05,3032.5701,,,7
Guyana,1991,0.50999999,,25.799999,3338.54,,,7
Guyana,1992,0.51999998,,14.09,3675.0701,85.199997,,7
Guyana,1993,0.52999997,,15.66,4057.8101,,,7
Guyana,1994,0.54000002,,14.41,4483.9399,,,7
Guyana,1995,0.55000001,,14.5,4794.5898,,,7
Guyana,1996,0.56,,11.68,5257.6299,,,7
Guyana,1997,0.56,,11.52,5666.52,,,7
Guyana,1998,0.56999999,45.099998,14.93,5623.02,56.599998,,7
Guyana,1999,0.56999999,,12.01,5860.8599,,,7
Guyana,2000,0.57999998,,10.01,5903.8198,,,7
Guyana,2001,0.57999998,,10.53,6168.2798,,,7
Guyana,2002,0.58999997,,18.809999,6331.0898,,,7
Guyana,2003,0.60000002,,27.48,6413.2002,,,7
Guyana,2004,0.61000001,,17.23,6689.5298,,,7
Guyana,2005,0.62,,18.690001,6771.0601,,30.07,7
Guyana,2006,0.63,,20.17,7351.02,,34.380001,7
Guyana,2007,0.63999999,,15.2,8112.3501,,23.08,7
Guyana,2008,0.63999999,,20.950001,8439.5098,,31.950001,7
Guyana,2009,0.64999998,,15.57,8834.2197,,23.540001,7
Guyana,2010,0.66000003,,18.719999,9351.79,,29.299999,7
Guyana,2011,0.67000002,,17.469999,10092.08,,25.950001,7
Guyana,2012,0.67000002,,18.68,10640.67,,30.309999,7
Guyana,2013,0.67000002,,20.74,11198.16,,33.75,7
Guyana,2014,0.68000001,,19.84,11130.49,,,7
Guyana,2015,0.68000001,,19.73,11382.24,,32.560001,7
Guyana,2016,0.69,,18.709999,11479.46,,35.439999,7
Guyana,2017,0.69999999,,15.07,12193.62,,25.18,7
Guyana,2018,0.69999999,,14.13,12671.7,,22.799999,7
Guyana,2019,0.70999998,,17.030001,13364.22,,30.040001,7
Guyana,2020,0.72000003,,19.690001,19462.93,,30.26,7
Guyana,2021,0.70999998,,16.280001,24193.529,,30.99,7
