country,year,hdi,gini,hom,ppincppp,pov,homale,country_id
Paraguay,1990,0.60000002,40.799999,,5603.71,21.799999,,8
Paraguay,1991,0.60000002,,,5839.1001,,,8
Paraguay,1992,0.61000001,,,5918.6201,,,8
Paraguay,1993,0.61000001,,,6199.79,,,8
Paraguay,1994,0.62,,,6507.0698,,,8
Paraguay,1995,0.62,58.200001,,6929.3599,43.599998,,8
Paraguay,1996,0.63,,,7003.3901,,,8
Paraguay,1997,0.63999999,54.900002,,7262.0498,38,,8
Paraguay,1998,0.63999999,,,7191.8198,,,8
Paraguay,1999,0.64999998,54.599998,,7046.7202,41.400002,,8
Paraguay,2000,0.64999998,,19.42,6905.25,,,8
Paraguay,2001,0.66000003,54.599998,25.209999,6884.0698,39.5,,8
Paraguay,2002,0.66000003,57.299999,25.950001,6890.7402,51.700001,,8
Paraguay,2003,0.66000003,54.900002,24,7238.9502,44.700001,,8
Paraguay,2004,0.66000003,52.299999,22.32,7644.8101,42.799999,,8
Paraguay,2005,0.66000003,51.400002,16.200001,7963.7202,39.099998,,8
Paraguay,2006,0.66000003,53,13.41,8514.2305,43.799999,,8
Paraguay,2007,0.67000002,53,14.01,9126.9404,40.299999,26.16,8
Paraguay,2008,0.68000001,50.700001,14.76,9809.75,37.200001,27.219999,8
Paraguay,2009,0.68000001,49.099998,14.4,9747.6904,35.700001,26.18,8
Paraguay,2010,0.69,51,12.85,10833.9,34.099998,23,8
Paraguay,2011,0.69999999,52.299999,11.24,11384.37,32.200001,20.23,8
Paraguay,2012,0.69999999,47.599998,10.96,10861.36,27,19.32,8
Paraguay,2013,0.72000003,47.900002,10.06,11992.08,23.299999,18.27,8
Paraguay,2014,0.72000003,50.700001,9.4899998,12411.3,22.6,16.610001,8
Paraguay,2015,0.72000003,47.599998,9.9899998,12436.23,22.6,18.030001,8
Paraguay,2016,0.72000003,47.900002,10.68,13024.15,23.700001,19.49,8
Paraguay,2017,0.72000003,48.5,8.5100002,13604.17,21,15.15,8
Paraguay,2018,0.73000002,46,7.71,14181.43,19.6,13.4,8
Paraguay,2019,0.73000002,45.700001,8.4799995,14186.93,19.700001,15.24,8
Paraguay,2020,0.73000002,43.5,7.27,14063.27,22.299999,12.39,8
Paraguay,2021,0.72000003,42.900002,7.8299999,15091.33,20.799999,13.7,8
