country,year,hdi,gini,hom,ppincppp,pov,homale,country_id
Peru,1990,0.62,,,3351.99,,,9
Peru,1991,0.63,,,3467.9099,,,9
Peru,1992,0.63,,,3456.71,,,9
Peru,1993,0.63,,,3650.29,,,9
Peru,1994,0.63999999,,,4105.1802,,,9
Peru,1995,0.64999998,,,4416.1201,,,9
Peru,1996,0.64999998,,,4537.7998,,,9
Peru,1997,0.66000003,53.299999,,4826.2598,61.299999,,9
Peru,1998,0.66000003,55.099998,,4776.21,62.299999,,9
Peru,1999,0.67000002,54.799999,,4834.6499,62.099998,,9
Peru,2000,0.68000001,49.099998,,5000.7798,62.400002,,9
Peru,2001,0.68000001,51.299999,,5076.3901,63.900002,,9
Peru,2002,0.69,53.599998,,5373.1001,60.200001,,9
Peru,2003,0.68000001,53.099998,,5647.6699,59.400002,,9
Peru,2004,0.69,49.900002,,6027.77,59.799999,,9
Peru,2005,0.69,50.5,,6548.0498,61.5,,9
Peru,2006,0.69,50.299999,,7198.5098,55.900002,,9
Peru,2007,0.69999999,50,,7961.2998,50.299999,,9
Peru,2008,0.70999998,47.5,,8791.2598,46.400002,,9
Peru,2009,0.70999998,47,,8881.9297,44.599998,,9
Peru,2010,0.73000002,45.5,,9664.2695,40.5,,9
Peru,2011,0.73000002,44.700001,5.4899998,10400.95,38.099998,9.0799999,9
Peru,2012,0.74000001,44.400002,6.6199999,10679.8,35.299999,11.06,9
Peru,2013,0.75,43.900002,6.6999998,11196.38,34.5,11.37,9
Peru,2014,0.75999999,43.099998,6.8400002,11410.33,33.400002,11.39,9
Peru,2015,0.75999999,43.400002,7.3200002,11481.46,32.700001,11.88,9
Peru,2016,0.76999998,43.599998,7.8200002,11933.6,31.799999,12,9
Peru,2017,0.76999998,43.299999,7.8699999,12442.75,32.599998,11.49,9
Peru,2018,0.77999997,42.400002,7.6100001,13001.46,30.4,11.94,9
Peru,2019,0.77999997,41.599998,7.27,13275.28,28.9,11.57,9
Peru,2020,0.75999999,43.799999,5.71,11813.99,43,9.1899996,9
Peru,2021,0.75999999,40.200001,,13830.57,33.700001,,9
