country,year,hdi,gini,hom,ppincppp,pov,homale,country_id,linc,lhom,lhomale
Argentina,1990,0.72000003,47.742004,8.1207371,7183.5801,18.484037,23.065992,1,8.8795528,2.0944209,3.1383593
Argentina,1991,0.73000002,46.799999,7.9799452,7990.1899,14.3,22.228373,1,8.9859695,2.0769315,3.1013696
Argentina,1992,0.74000001,45.5,7.856483,8699.4004,14.9,21.645666,1,9.0710096,2.0613391,3.0748053
Argentina,1993,0.74000001,44.900002,7.7159495,9506.5098,15.1,21.059347,1,9.1597319,2.0432897,3.0473444
Argentina,1994,0.74000001,45.900002,7.6059294,10138.68,15.7,20.665567,1,9.2241135,2.028928,3.0284688
Argentina,1995,0.75,48.900002,7.6435328,9925.1299,20.5,20.91288,1,9.2028255,2.03386,3.0403652
Argentina,1996,0.75,49.5,7.5380411,10531.85,22.4,20.566538,1,9.2621593,2.0199623,3.0236654
Argentina,1997,0.75999999,49.099998,7.379035,11444.47,21.299999,19.891939,1,9.3452616,1.9986429,2.9903145
Argentina,1998,0.75999999,50.700001,7.3032899,11880.48,23.299999,19.678587,1,9.3826523,1.9883249,2.979531
Argentina,1999,0.76999998,49.799999,7.3684487,11506.7,24.200001,19.500235,1,9.3506851,1.9972072,2.9704266
Argentina,2000,0.77999997,51.099998,7.3623157,11542.99,26.299999,19.40379,1,9.3538332,1.9963745,2.9654684
Argentina,2001,0.77999997,53.299999,8.3500004,11159.33,31.1,19.72905,1,9.3200312,2.1222615,2.9820921
Argentina,2002,0.79000002,53.799999,9.4200001,9990.7197,44.400002,20.630651,1,9.2094116,2.242835,3.026778
Argentina,2003,0.79000002,50.900002,7.75,10974.32,29.6,18.917866,1,9.3033133,2.0476928,2.9401069
Argentina,2004,0.80000001,48.400002,6.0500002,12162.34,24.700001,17.67889,1,9.4060993,1.8000582,2.8723712
Argentina,2005,0.80000001,47.700001,5.6300001,13513.67,20.799999,16.676241,1,9.5114574,1.7281095,2.8139851
Argentina,2006,0.81,46.299999,5.3499999,14896.73,16.799999,15.62051,1,9.6088972,1.6770965,2.7485847
Argentina,2007,0.81999999,46.200001,5.3600001,16510.449,15.4,14.743057,1,9.7117491,1.678964,2.6907723
Argentina,2008,0.82999998,44.900002,5.8899999,17336.93,14.1,14.080081,1,9.7605944,1.7732559,2.6447611
Argentina,2009,0.82999998,43.700001,6.4899998,16249.73,12.8,14.038708,1,9.6958313,1.8702625,2.6418183
Argentina,2010,0.82999998,43.599998,5.8000002,18063.91,11.2,13.027721,1,9.801671,1.7578579,2.5670795
Argentina,2011,0.83999997,42.599998,6.0500002,19322.23,9,12.178313,1,9.8690119,1.8000582,2.4996567
Argentina,2012,0.83999997,41.299999,6.3099999,19641.35,8.5,11.695211,1,9.8853922,1.8421357,2.4591794
Argentina,2013,0.85000002,40.900002,7.25,20131.68,8.5,11.305192,1,9.9100504,1.9810015,2.425262
Argentina,2014,0.85000002,41.599998,7.54,19683.77,9.1000004,11.267544,1,9.8875494,2.0202222,2.4219263
Argentina,2015,0.85000002,44.855942,6.5599999,20105.199,14.938188,11.45,1,9.9087334,1.8809906,2.4379897
Argentina,2016,0.85000002,42,6.0100002,20307.869,8.8000002,10.381073,1,9.9187641,1.7934248,2.3399842
Argentina,2017,0.85000002,41.099998,5.2600002,23597.119,7.9000001,8.75,1,10.06888,1.6601311,2.1690538
Argentina,2018,0.85000002,41.299999,5.3699999,23294.1,9.6999998,9.04,1,10.055955,1.6808279,2.2016592
Argentina,2019,0.85000002,42.900002,5.1599998,23007.84,11.2,8.5500002,1,10.043591,1.6409365,2.1459312
Argentina,2020,0.83999997,42.299999,5.3699999,20787.859,14.1,9.1700001,1,9.9421244,1.6808279,2.2159374
Argentina,2021,0.83999997,42,4.6199999,23754.359,10.6,7.96,1,10.075521,1.5303947,2.074429
Bolivia,1990,0.55000001,59.758907,18.171482,2294.73,48.920361,25.005634,2,7.7383704,2.8998535,3.2191012
Bolivia,1991,0.56,59.313988,17.747663,2446.02,48.115135,24.401749,2,7.8022175,2.8762538,3.1946547
Bolivia,1992,0.56999999,58.979485,17.282839,2491.53,47.434574,23.744381,2,7.8206525,2.849714,3.167346
Bolivia,1993,0.57999998,58.572395,16.844973,2606.5801,46.672058,23.122173,2,7.8657942,2.8240523,3.1407921
Bolivia,1994,0.58999997,58.154022,16.411295,2732.4399,45.896805,22.50543,2,7.91295,2.7979698,3.1137567
Bolivia,1995,0.60000002,57.728413,15.980304,2865.23,45.11338,21.892191,2,7.9604039,2.7713571,3.0861299
Bolivia,1996,0.61000001,57.312672,15.54565,2988.5701,44.341095,21.274174,2,8.0025501,2.7437809,3.0574939
Bolivia,1997,0.62,58.200001,15.939074,3132.5901,46.099998,21.942522,2,8.0496159,2.7687736,3.0884264
Bolivia,1998,0.63,56.447803,14.688739,3267.23,42.758835,20.05431,2,8.0916977,2.6870811,2.9984441
Bolivia,1999,0.63,58.099998,17.142282,3267.4299,50,23.692417,2,8.0917587,2.841548,3.1651549
Bolivia,2000,0.63,61.599998,19.080299,3364.02,55.799999,26.85498,2,8.1208916,2.9486563,3.2904513
Bolivia,2001,0.63,57.400002,17.567696,3436.3701,51.799999,24.287815,2,8.1421709,2.8660617,3.1899748
Bolivia,2002,0.63,59.299999,18.072773,3514.5901,53.799999,25.256401,2,8.1646786,2.8944066,3.2290797
Bolivia,2003,0.63,54.647121,12.406511,3617.3999,39.205341,16.831079,2,8.193511,2.5182214,2.8232272
Bolivia,2004,0.63,55,14.894758,3802.8101,45.799999,20.396414,2,8.2434959,2.7010093,3.0153592
Bolivia,2005,0.63999999,58.5,15.167559,4025.1101,47.200001,21.235205,2,8.3003073,2.7191589,3.0556605
Bolivia,2006,0.63999999,56.700001,13.194219,4273.04,42.099998,18.315706,2,8.3600807,2.5797787,2.907759
Bolivia,2007,0.64999998,54.5,12.919657,4509.21,41.200001,17.725418,2,8.4138775,2.5587499,2.8749998
Bolivia,2008,0.64999998,50.799999,10.403683,4794.6001,33.900002,13.87,2,8.4752455,2.3421597,2.6297283
Bolivia,2009,0.66000003,49.200001,8.1646214,4902.6099,28.9,10.547141,2,8.4975233,2.0998104,2.3558547
Bolivia,2010,0.66000003,51.111927,9.591465,5079.3799,33.088928,12.808908,2,8.5329447,2.2608736,2.5501409
Bolivia,2011,0.67000002,46.099998,6.0824733,5363.9902,23.5,7.3725157,2,8.5874634,1.8054115,1.997759
Bolivia,2012,0.67000002,46.599998,6.236342,5814.0698,23.700001,7.7144432,2,8.6680365,1.8303938,2.0430944
Bolivia,2013,0.68000001,47.599998,5.6973672,6500.8799,21.799999,7.1606388,2,8.7796926,1.7400042,1.9685992
Bolivia,2014,0.68000001,47.799999,5.1271539,6920.7798,20.200001,6.4515591,2,8.8422842,1.6345507,1.8643218
Bolivia,2015,0.69,46.700001,4.9000001,6992.1299,20.5,5.9899998,2,8.852541,1.5892352,1.7900914
