country,year,hdi,gini,hom,ppincppp,pov,homale,country_id
Suriname,1990,,,,6487.9702,,,10
Suriname,1991,,,,6835.0698,,,10
Suriname,1992,,,,6959.5698,,,10
Suriname,1993,,,,6602.2798,,,10
Suriname,1994,,,,6904.3198,,,10
Suriname,1995,,,,6920.25,,,10
Suriname,1996,,,,6967.5801,,,10
Suriname,1997,,,,7341.98,,,10
Suriname,1998,,,,7449.6099,,,10
Suriname,1999,,57.900002,,7310.9399,44.5,,10
Suriname,2000,,,14.2,7497.48,,,10
Suriname,2001,,,16.209999,7850.77,,,10
Suriname,2002,,,11.5,8059.5898,,,10
Suriname,2003,,,11.91,8595.7197,,,10
Suriname,2004,0.67000002,,9.0100002,9449.3203,,,10
Suriname,2005,0.68000001,,13.37,10072.76,,,10
Suriname,2006,0.69,,11.88,10863.02,,,10
Suriname,2007,0.69999999,,8.5200005,11595.3,,11.44,10
Suriname,2008,0.70999998,,8.0500002,12169.23,,12.28,10
Suriname,2009,0.72000003,,,12475,,,10
Suriname,2010,0.72000003,,,13129.33,,,10
Suriname,2011,0.73000002,,,14030.21,,,10
Suriname,2012,0.73000002,,,15308.16,,,10
Suriname,2013,0.73000002,,5.1399999,16318.6,,9.1999998,10
Suriname,2014,0.74000001,,5.6199999,16764.039,,9.1099997,10
Suriname,2015,0.74000001,,5.9099998,16721.301,,7.9899998,10
Suriname,2016,0.75,,7.0500002,14633.19,,8.6000004,10
Suriname,2017,0.75,,6.1300001,17753.061,,8.5200005,10
Suriname,2018,0.75999999,,6.4000001,18881.619,,10.46,10
Suriname,2019,0.75999999,,5,19231.65,,7.6799998,10
Suriname,2020,0.74000001,,9.0600004,16187.82,,14.87,10
Suriname,2021,0.73000002,,5.71,16294.49,,9.1700001,10
