country,year,hdi,gini,hom,ppincppp,pov,homale,country_id
Uruguay,1990,0.69999999,,6.6100001,6655.4102,,,11
Uruguay,1991,0.70999998,,6.1900001,7082.25,,,11
Uruguay,1992,0.70999998,,5.77,7772.6699,,,11
Uruguay,1993,0.70999998,,,8121.98,,,11
Uruguay,1994,0.72000003,,,8848.6602,,,11
Uruguay,1995,0.72000003,,5.9499998,8852.4902,,,11
Uruguay,1996,0.72000003,,6.3499999,9463.3301,,,11
Uruguay,1997,0.74000001,,7.4899998,10390,,,11
Uruguay,1998,0.74000001,,7.48,10922.46,,,11
Uruguay,1999,0.75,,6.5900002,10853.76,,,11
Uruguay,2000,0.75,,6.5,10841.59,,,11
Uruguay,2001,0.75999999,,6.5999999,10631.55,,,11
Uruguay,2002,0.75999999,,6.9899998,9945.8203,,,11
Uruguay,2003,0.76999998,,5.9499998,10212.17,,,11
Uruguay,2004,0.76999998,,6.04,10999.1,,,11
Uruguay,2005,0.76999998,,5.73,12176.09,,,11
Uruguay,2006,0.76999998,45.900002,6.0799999,13048.08,22.299999,9.9300003,11
Uruguay,2007,0.76999998,46.400002,5.8299999,14250,19.6,10.09,11
Uruguay,2008,0.76999998,45.099998,6.6199999,15530.65,14.7,11,11
Uruguay,2009,0.77999997,45.5,6.7600002,16254.33,13.6,11.22,11
Uruguay,2010,0.79000002,44.5,6.1100001,17688.381,12,10.14,11
Uruguay,2011,0.79000002,42.200001,5.9200001,18937.199,8.5,9.7399998,11
Uruguay,2012,0.80000001,39.900002,7.9200001,19290.289,7.8000002,14.08,11
Uruguay,2013,0.81,40.5,7.6900001,20445.561,7.4000001,12.62,11
Uruguay,2014,0.81,40.099998,7.9000001,21645.119,6.3000002,13.25,11
Uruguay,2015,0.81,40.099998,8.6099997,21948.77,6,14.78,11
Uruguay,2016,0.81999999,39.700001,7.8200002,22618.689,5.5999999,13.46,11
Uruguay,2017,0.81999999,39.5,8.2700005,23384.74,4.5999999,13.78,11
Uruguay,2018,0.81999999,39.700001,12.28,23950.391,4.9000001,21.959999,11
Uruguay,2019,0.81999999,39.700001,11.49,24551.75,5.0999999,20.85,11
Uruguay,2020,0.81999999,40.200001,9.8599997,23309.789,7.1999998,18.07,11
Uruguay,2021,0.81,40.799999,8.8999996,25663.41,6.6999998,15.97,11
