country,year,hdi,gini,hom,ppincppp,pov,homale,country_id
Argentina,1990,.72000003,,,7183.5801,,,1
Argentina,1991,.73000002,46.799999,,7990.1899,14.3,,1
Argentina,1992,.74000001,45.5,,8699.4004,14.9,,1
Argentina,1993,.74000001,44.900002,,9506.5098,15.1,,1
Argentina,1994,.74000001,45.900002,,10138.68,15.7,,1
Argentina,1995,.75,48.900002,,9925.1299,20.5,,1
Argentina,1996,.75,49.5,,10531.85,22.4,,1
Argentina,1997,.75999999,49.099998,,11444.47,21.299999,,1
Argentina,1998,.75999999,50.700001,,11880.48,23.299999,,1
Argentina,1999,.76999998,49.799999,,11506.7,24.200001,,1
Argentina,2000,.77999997,51.099998,,11542.99,26.299999,,1
Argentina,2001,.77999997,53.299999,8.3500004,11159.33,31.1,,1
Argentina,2002,.79000002,53.799999,9.4200001,9990.7197,44.400002,,1
Argentina,2003,.79000002,50.900002,7.75,10974.32,29.6,,1
Argentina,2004,.80000001,48.400002,6.0500002,12162.34,24.700001,,1
Argentina,2005,.80000001,47.700001,5.6300001,13513.67,20.799999,,1
Argentina,2006,.81,46.299999,5.3499999,14896.73,16.799999,,1
Argentina,2007,.81999999,46.200001,5.3600001,16510.449,15.4,,1
Argentina,2008,.82999998,44.900002,5.8899999,17336.93,14.1,,1
Argentina,2009,.82999998,43.700001,6.4899998,16249.73,12.8,,1
Argentina,2010,.82999998,43.599998,5.8000002,18063.91,11.2,,1
Argentina,2011,.83999997,42.599998,6.0500002,19322.23,9,,1
Argentina,2012,.83999997,41.299999,6.3099999,19641.35,8.5,,1
Argentina,2013,.85000002,40.900002,7.25,20131.68,8.5,,1
Argentina,2014,.85000002,41.599998,7.54,19683.77,9.1000004,,1
Argentina,2015,.85000002,,6.5599999,20105.199,,11.45,1
Argentina,2016,.85000002,42,6.0100002,20307.869,8.8000002,,1
Argentina,2017,.85000002,41.099998,5.2600002,23597.119,7.9000001,8.75,1
Argentina,2018,.85000002,41.299999,5.3699999,23294.1,9.6999998,9.04,1
Argentina,2019,.85000002,42.900002,5.1599998,23007.84,11.2,8.5500002,1
Argentina,2020,.83999997,42.299999,5.3699999,20787.859,14.1,9.1700001,1
Argentina,2021,.83999997,42,4.6199999,23754.359,10.6,7.96,1
Bolivia,1990,.55000001,,,2294.73,,,2
Bolivia,1991,.56,,,2446.02,,,2
Bolivia,1992,.56999999,,,2491.53,,,2
Bolivia,1993,.57999998,,,2606.5801,,,2
Bolivia,1994,.58999997,,,2732.4399,,,2
Bolivia,1995,.60000002,,,2865.23,,,2
Bolivia,1996,.61000001,,,2988.5701,,,2
Bolivia,1997,.62,58.200001,,3132.5901,46.099998,,2
Bolivia,1998,.63,,,3267.23,,,2
Bolivia,1999,.63,58.099998,,3267.4299,50,,2
Bolivia,2000,.63,61.599998,,3364.02,55.799999,,2
Bolivia,2001,.63,57.400002,,3436.3701,51.799999,,2
Bolivia,2002,.63,59.299999,,3514.5901,53.799999,,2
Bolivia,2003,.63,,,3617.3999,,,2
Bolivia,2004,.63,55,,3802.8101,45.799999,,2
Bolivia,2005,.63999999,58.5,,4025.1101,47.200001,,2
Bolivia,2006,.63999999,56.700001,,4273.04,42.099998,,2
Bolivia,2007,.64999998,54.5,,4509.21,41.200001,,2
Bolivia,2008,.64999998,50.799999,,4794.6001,33.900002,13.87,2
Bolivia,2009,.66000003,49.200001,,4902.6099,28.9,,2
Bolivia,2010,.66000003,,,5079.3799,,,2
Bolivia,2011,.67000002,46.099998,,5363.9902,23.5,,2
Bolivia,2012,.67000002,46.599998,,5814.0698,23.700001,,2
Bolivia,2013,.68000001,47.599998,,6500.8799,21.799999,,2
Bolivia,2014,.68000001,47.799999,,6920.7798,20.200001,,2
Bolivia,2015,.69,46.700001,4.9000001,6992.1299,20.5,5.9899998,2
Bolivia,2016,.69999999,45.200001,5.6999998,7345.8301,22,7.0100002,2
Bolivia,2017,.70999998,44.599998,6.5300002,8244.9297,21,8.3699999,2
Bolivia,2018,.70999998,42.599998,4.9499998,8669.8301,19.1,5.7600002,2
Bolivia,2019,.72000003,41.599998,4.2199998,8890.46,15.5,4.8299999,2
Bolivia,2020,.69,43.599998,3.49,8110.1099,17.299999,3.9100001,2
Bolivia,2021,.69,40.900002,3.49,8885.2402,15.2,3.76,2
Brazil,1990,.61000001,60.5,19.440001,6617.9399,63.700001,35.939999,3
Brazil,1991,.62,,18.360001,6793.8101,,33.66,3
Brazil,1992,.62,53.200001,16.66,6797.1499,65.400002,30.690001,3
Brazil,1993,.63,60.099998,17.68,7183.8999,64.300003,32.540001,3
